# Note: on each line, put comma-separated <outcome:count> items, i.e. 00110:23
[Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gzpi2:Q32Gzpi2:Q32[Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gzpi2:Q23Gzpi2:Q23[Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q32Gxpi2:Q32[Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gxpi2:Q23]@(Q23,Q32)  
[Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gzpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gxpi2:Q23Gzpi2:Q23Gzpi2:Q23[Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gzpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32]Gxpi2:Q23Gzpi2:Q23Gzpi2:Q23[Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32]@(Q23,Q32)  
[Gzpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q32Gxpi2:Q32[Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gzpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gzpi2:Q23]Gxpi2:Q32Gzpi2:Q32Gzpi2:Q32[Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q32Gxpi2:Q32@(Q23,Q32)  
[Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gzpi2:Q23Gzpi2:Q23[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q32Gzpi2:Q23]Gzpi2:Q32[Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gxpi2:Q32Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gzpi2:Q32Gzpi2:Q32[Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gzpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gzpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32]@(Q23,Q32)  
[Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32]Gzpi2:Q23[Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q32Gzpi2:Q23]Gzpi2:Q32[Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gzpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gzpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gzpi2:Q32Gzpi2:Q32[Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32]Gzpi2:Q23@(Q23,Q32)  
[Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32][Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q32Gzpi2:Q23]Gxpi2:Q32Gxpi2:Q32Gxpi2:Q32Gzpi2:Q32Gzpi2:Q32[Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gzpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gzpi2:Q32]Gxpi2:Q23Gxpi2:Q23@(Q23,Q32)  
[Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gzpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q32Gxpi2:Q32[Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gzpi2:Q32Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gzpi2:Q32Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gzpi2:Q32Gzpi2:Q32[Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23@(Q23,Q32)  
[Gzpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gzpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gxpi2:Q23]Gzpi2:Q32Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gzpi2:Q23[Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23]Gzpi2:Q23[Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gzpi2:Q32]@(Q23,Q32)  
[Gzpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gxpi2:Q23][Gzpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gzpi2:Q32Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23[Gzpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gzpi2:Q32]Gzpi2:Q23Gzpi2:Q23@(Q23,Q32)  
[Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32]Gzpi2:Q23[Gzpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gxpi2:Q32Gxpi2:Q32Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gzpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gzpi2:Q32]Gzpi2:Q23Gzpi2:Q23[Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gzpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gzpi2:Q23Gzpi2:Q23[Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gzpi2:Q32]@(Q23,Q32)  
[Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gzpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gzpi2:Q23Gzpi2:Q23[Gzpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gzpi2:Q23][Gxpi2:Q32Gxpi2:Q23]Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q32Gxpi2:Q32[Gxpi2:Q23Gzpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q32Gzpi2:Q23]Gxpi2:Q32Gxpi2:Q32Gxpi2:Q32[Gxpi2:Q23Gxpi2:Q32][Gzpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gzpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q32Gxpi2:Q23][Gxpi2:Q32Gzpi2:Q23][Gzpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23Gcphase:Q23:Q32[Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gzpi2:Q32][Gxpi2:Q23Gxpi2:Q32][Gxpi2:Q23Gxpi2:Q32]Gxpi2:Q23Gxpi2:Q23@(Q23,Q32)  
