# Note: on each line, put comma-separated <outcome:count> items, i.e. 00110:23
[Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gzpi2:Q27[Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gxpi2:Q36Gxpi2:Q36Gxpi2:Q36Gxpi2:Q36@(Q27,Q36)  
[Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gzpi2:Q36Gzpi2:Q36[Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q36Gzpi2:Q27]Gxpi2:Q36Gxpi2:Q36Gxpi2:Q36[Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gxpi2:Q27[Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gzpi2:Q27]Gzpi2:Q36Gzpi2:Q36@(Q27,Q36)  
[Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gzpi2:Q36Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q27[Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36]Gxpi2:Q27Gxpi2:Q27@(Q27,Q36)  
[Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gzpi2:Q36Gzpi2:Q36[Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gzpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gzpi2:Q36Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gxpi2:Q36Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36]@(Q27,Q36)  
[Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gxpi2:Q27[Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gzpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gzpi2:Q27]Gxpi2:Q36@(Q27,Q36)  
[Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36]Gzpi2:Q27Gzpi2:Q27[Gzpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27[Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27[Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36]@(Q27,Q36)  
[Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gzpi2:Q27Gzpi2:Q27[Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gxpi2:Q36Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gzpi2:Q36Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gxpi2:Q36Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36]@(Q27,Q36)  
[Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q36Gzpi2:Q27]Gxpi2:Q36Gzpi2:Q36Gzpi2:Q36[Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gxpi2:Q36Gxpi2:Q36Gzpi2:Q36Gzpi2:Q36[Gzpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36]@(Q27,Q36)  
[Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gxpi2:Q36Gxpi2:Q36[Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gzpi2:Q36]Gxpi2:Q27Gzpi2:Q27Gzpi2:Q27[Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q36Gzpi2:Q27]Gxpi2:Q36Gxpi2:Q36Gxpi2:Q36Gzpi2:Q36Gzpi2:Q36[Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36]@(Q27,Q36)  
[Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27]Gzpi2:Q27[Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36][Gzpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gxpi2:Q36Gxpi2:Q36[Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36]@(Q27,Q36)  
[Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gzpi2:Q36Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27[Gzpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gxpi2:Q27Gxpi2:Q27Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gxpi2:Q27[Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27][Gzpi2:Q36Gxpi2:Q27]Gzpi2:Q36Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gzpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q36Gzpi2:Q27][Gzpi2:Q36Gzpi2:Q27][Gxpi2:Q36Gxpi2:Q27]Gxpi2:Q36Gxpi2:Q36Gcphase:Q27:Q36[Gxpi2:Q36Gxpi2:Q27][Gxpi2:Q36Gzpi2:Q27][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gxpi2:Q36]Gcphase:Q27:Q36[Gxpi2:Q27Gxpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36][Gxpi2:Q27Gzpi2:Q36]Gzpi2:Q27Gzpi2:Q27@(Q27,Q36)  
