# Note: on each line, put comma-separated <outcome:count> items, i.e. 00110:23
[Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gzpi2:Q38][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gzpi2:Q38Gzpi2:Q38[Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gxpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38]@(Q37,Q38)  
[Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gxpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gxpi2:Q37[Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gzpi2:Q38Gzpi2:Q38[Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gzpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gxpi2:Q37[Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gzpi2:Q38]@(Q37,Q38)  
[Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gzpi2:Q38]Gxpi2:Q37Gxpi2:Q37Gxpi2:Q37[Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gzpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gxpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38]Gzpi2:Q37Gzpi2:Q37[Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38]Gxpi2:Q37Gxpi2:Q37[Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q38Gzpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38@(Q37,Q38)  
[Gzpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gzpi2:Q38Gzpi2:Q38[Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gzpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gzpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gzpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gzpi2:Q37Gzpi2:Q37[Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gzpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gzpi2:Q37]Gxpi2:Q38@(Q37,Q38)  
[Gzpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gzpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gzpi2:Q38Gzpi2:Q38[Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gzpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gzpi2:Q38]Gzpi2:Q37[Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38[Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gzpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gzpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gxpi2:Q37@(Q37,Q38)  
[Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q38Gxpi2:Q38[Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gzpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37[Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gzpi2:Q38Gzpi2:Q38@(Q37,Q38)  
[Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gzpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38]Gzpi2:Q37Gzpi2:Q37[Gzpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38]Gzpi2:Q37Gzpi2:Q37[Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38[Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gzpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]@(Q37,Q38)  
[Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gzpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gzpi2:Q37]Gxpi2:Q38[Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gzpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38]Gzpi2:Q37Gzpi2:Q37[Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gzpi2:Q38]Gxpi2:Q37Gxpi2:Q37Gxpi2:Q37Gzpi2:Q37Gzpi2:Q37[Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38]@(Q37,Q38)  
[Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gzpi2:Q38Gzpi2:Q38[Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gzpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gzpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gxpi2:Q38]Gxpi2:Q37Gxpi2:Q37Gxpi2:Q37Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gzpi2:Q38]@(Q37,Q38)  
[Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gzpi2:Q38Gzpi2:Q38[Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gzpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gzpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38[Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38@(Q37,Q38)  
[Gxpi2:Q37Gxpi2:Q38][Gzpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gzpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gxpi2:Q38Gxpi2:Q38[Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38]Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gzpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q37Gzpi2:Q38]Gxpi2:Q37Gxpi2:Q37[Gxpi2:Q38Gxpi2:Q37][Gzpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gxpi2:Q37]Gzpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q37Gxpi2:Q38][Gxpi2:Q37Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q38Gxpi2:Q37]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38Gcphase:Q37:Q38[Gxpi2:Q38Gxpi2:Q37][Gxpi2:Q38Gzpi2:Q37][Gzpi2:Q37Gzpi2:Q38][Gzpi2:Q37Gzpi2:Q38]@(Q37,Q38)  
