# Note: on each line, put comma-separated <outcome:count> items, i.e. 00110:23
[Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gzpi2:Q47]Gzpi2:Q38Gzpi2:Q38[Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47][Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gzpi2:Q38Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gzpi2:Q38Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gzpi2:Q47]Gxpi2:Q38@(Q38,Q47)  
[Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gzpi2:Q38]@(Q38,Q47)  
[Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gzpi2:Q47Gzpi2:Q47[Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gzpi2:Q47Gzpi2:Q47[Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gzpi2:Q47]@(Q38,Q47)  
[Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gzpi2:Q47]Gxpi2:Q38Gxpi2:Q38[Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gxpi2:Q47Gzpi2:Q47Gzpi2:Q47[Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gxpi2:Q47Gxpi2:Q47[Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gzpi2:Q38Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gzpi2:Q38Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gxpi2:Q38@(Q38,Q47)  
[Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gzpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gzpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gxpi2:Q47[Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gzpi2:Q47Gzpi2:Q47[Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47@(Q38,Q47)  
[Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gzpi2:Q47]Gzpi2:Q38[Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gxpi2:Q47[Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gzpi2:Q47]Gxpi2:Q38Gzpi2:Q38Gzpi2:Q38@(Q38,Q47)  
[Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gzpi2:Q47]Gxpi2:Q38Gxpi2:Q38[Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gzpi2:Q38Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38[Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47]@(Q38,Q47)  
[Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gzpi2:Q47[Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gzpi2:Q47]Gxpi2:Q38Gzpi2:Q38Gzpi2:Q38[Gzpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gzpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38[Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gzpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gxpi2:Q47Gxpi2:Q47@(Q38,Q47)  
[Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gzpi2:Q47Gzpi2:Q47[Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gzpi2:Q38Gxpi2:Q38Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gzpi2:Q38]Gxpi2:Q47Gzpi2:Q47Gzpi2:Q47[Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gzpi2:Q47Gzpi2:Q47@(Q38,Q47)  
[Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47]Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gxpi2:Q38Gxpi2:Q38Gxpi2:Q38[Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gzpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38]Gzpi2:Q38[Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gzpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gzpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gxpi2:Q47Gxpi2:Q47Gxpi2:Q47@(Q38,Q47)  
[Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gxpi2:Q47Gxpi2:Q47[Gzpi2:Q47Gxpi2:Q38][Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gzpi2:Q47][Gzpi2:Q38Gzpi2:Q47][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gxpi2:Q47Gxpi2:Q47[Gxpi2:Q47Gxpi2:Q38][Gzpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gzpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q38Gxpi2:Q47][Gxpi2:Q38Gzpi2:Q47][Gzpi2:Q47Gzpi2:Q38][Gxpi2:Q47Gxpi2:Q38]Gxpi2:Q47Gxpi2:Q47Gcphase:Q38:Q47[Gxpi2:Q47Gxpi2:Q38][Gxpi2:Q47Gzpi2:Q38][Gzpi2:Q38Gxpi2:Q47][Gzpi2:Q38Gxpi2:Q47]Gzpi2:Q47Gzpi2:Q47@(Q38,Q47)  
