# Note: on each line, put comma-separated <outcome:count> items, i.e. 00110:23
[Gzpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gxpi2:Q44Gxpi2:Q44Gzpi2:Q44Gzpi2:Q44[Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gzpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gxpi2:Q53[Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gxpi2:Q44Gxpi2:Q44Gzpi2:Q44Gzpi2:Q44@(Q44,Q53)  
[Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gxpi2:Q53Gxpi2:Q53Gxpi2:Q53[Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gzpi2:Q53]Gzpi2:Q44Gzpi2:Q44[Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gzpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gxpi2:Q53[Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gzpi2:Q53]Gxpi2:Q44Gxpi2:Q44Gxpi2:Q44@(Q44,Q53)  
[Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gzpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q53Gzpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gxpi2:Q53[Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gzpi2:Q53]Gzpi2:Q44[Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gzpi2:Q53]Gxpi2:Q44Gzpi2:Q44Gzpi2:Q44[Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gzpi2:Q53]Gzpi2:Q44Gzpi2:Q44@(Q44,Q53)  
[Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gxpi2:Q44Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gxpi2:Q44[Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q53Gxpi2:Q53[Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gxpi2:Q44Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gzpi2:Q53]Gxpi2:Q44Gxpi2:Q44@(Q44,Q53)  
[Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gzpi2:Q53]Gxpi2:Q44Gxpi2:Q44[Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gzpi2:Q53[Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44]Gzpi2:Q44[Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gzpi2:Q53]Gzpi2:Q44Gzpi2:Q44@(Q44,Q53)  
[Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gzpi2:Q53Gzpi2:Q53[Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gzpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gzpi2:Q53Gzpi2:Q53[Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53]@(Q44,Q53)  
[Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gzpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gxpi2:Q53[Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gzpi2:Q44[Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gzpi2:Q44]Gxpi2:Q53Gxpi2:Q53Gxpi2:Q53[Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gzpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gzpi2:Q44]Gxpi2:Q53@(Q44,Q53)  
[Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gzpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gzpi2:Q53Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53]@(Q44,Q53)  
[Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gxpi2:Q44Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gxpi2:Q44Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q53Gxpi2:Q53[Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q53Gxpi2:Q44][Gzpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gzpi2:Q44Gzpi2:Q44@(Q44,Q53)  
[Gzpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gzpi2:Q53Gzpi2:Q53[Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gzpi2:Q44Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gzpi2:Q44Gzpi2:Q44[Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gzpi2:Q44]Gxpi2:Q53@(Q44,Q53)  
[Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gzpi2:Q44Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q53Gxpi2:Q53[Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q53Gxpi2:Q44][Gzpi2:Q53Gxpi2:Q44]Gxpi2:Q53Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q53Gxpi2:Q53[Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gxpi2:Q44]Gzpi2:Q53Gzpi2:Q53[Gxpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gxpi2:Q53]Gcphase:Q44:Q53[Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gzpi2:Q44Gxpi2:Q53][Gzpi2:Q44Gxpi2:Q53]Gxpi2:Q44Gcphase:Q44:Q53[Gxpi2:Q53Gxpi2:Q44][Gxpi2:Q53Gzpi2:Q44][Gzpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gxpi2:Q53][Gxpi2:Q44Gzpi2:Q53][Gxpi2:Q44Gzpi2:Q53]@(Q44,Q53)  
