# Note: on each line, put comma-separated <outcome:count> items, i.e. 00110:23
[Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gxpi2:Q54[Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q55Gzpi2:Q54]Gzpi2:Q55[Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gzpi2:Q54]Gzpi2:Q55Gzpi2:Q55[Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gzpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gzpi2:Q55Gzpi2:Q55@(Q54,Q55)  
[Gzpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gxpi2:Q55[Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gzpi2:Q54Gzpi2:Q54[Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gxpi2:Q55Gxpi2:Q55Gxpi2:Q55[Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gzpi2:Q54]Gxpi2:Q55@(Q54,Q55)  
[Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gzpi2:Q55Gzpi2:Q55[Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gzpi2:Q54Gzpi2:Q54[Gzpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gzpi2:Q54Gzpi2:Q54[Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gzpi2:Q55Gzpi2:Q55@(Q54,Q55)  
[Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gzpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gzpi2:Q55Gzpi2:Q55[Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gzpi2:Q54Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gzpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55]Gxpi2:Q54Gzpi2:Q54Gzpi2:Q54@(Q54,Q55)  
[Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gzpi2:Q55Gzpi2:Q55[Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q55[Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gzpi2:Q55]Gxpi2:Q54Gxpi2:Q54Gxpi2:Q54[Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gzpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q55Gxpi2:Q55@(Q54,Q55)  
[Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gzpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q55Gxpi2:Q55[Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gzpi2:Q54Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gzpi2:Q55Gzpi2:Q55[Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gxpi2:Q54Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q55Gxpi2:Q55@(Q54,Q55)  
[Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gzpi2:Q55]Gxpi2:Q54Gxpi2:Q54Gxpi2:Q54Gxpi2:Q54[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gzpi2:Q54Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gzpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gzpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gzpi2:Q55]@(Q54,Q55)  
[Gzpi2:Q54Gxpi2:Q55][Gzpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55]Gzpi2:Q54Gzpi2:Q54[Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gzpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gzpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55]Gzpi2:Q54Gzpi2:Q54[Gzpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q55Gxpi2:Q55@(Q54,Q55)  
[Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gzpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55]Gzpi2:Q54Gzpi2:Q54[Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gzpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gxpi2:Q55[Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55]Gxpi2:Q54Gzpi2:Q54Gzpi2:Q54[Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gxpi2:Q54Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gxpi2:Q54@(Q54,Q55)  
[Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gzpi2:Q54Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gxpi2:Q54Gxpi2:Q54Gzpi2:Q54Gzpi2:Q54[Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gzpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gzpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gzpi2:Q55][Gxpi2:Q54Gzpi2:Q55]Gxpi2:Q54Gxpi2:Q54Gxpi2:Q54[Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gzpi2:Q55]@(Q54,Q55)  
[Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q55Gzpi2:Q54]Gxpi2:Q55Gxpi2:Q55Gzpi2:Q55Gzpi2:Q55[Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gxpi2:Q54Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q55Gzpi2:Q54][Gzpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gzpi2:Q55Gxpi2:Q55Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gxpi2:Q54[Gxpi2:Q54Gzpi2:Q55][Gzpi2:Q54Gxpi2:Q55]Gxpi2:Q54Gxpi2:Q54Gxpi2:Q54Gcphase:Q54:Q55[Gxpi2:Q54Gxpi2:Q55][Gxpi2:Q54Gzpi2:Q55][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54]Gcphase:Q54:Q55[Gxpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gzpi2:Q54][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54][Gxpi2:Q55Gxpi2:Q54][Gzpi2:Q55Gxpi2:Q54]Gzpi2:Q55@(Q54,Q55)  
