# Note: on each line, put comma-separated <outcome:count> items, i.e. 00110:23
[Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8][Gzpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gzpi2:Q7]Gzpi2:Q8Gzpi2:Q8[Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gzpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gxpi2:Q8@(Q7,Q8)  
[Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gzpi2:Q8]Gxpi2:Q7Gxpi2:Q7[Gxpi2:Q7Gzpi2:Q8][Gzpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gzpi2:Q7Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gzpi2:Q8][Gzpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q8Gzpi2:Q7]Gxpi2:Q8Gzpi2:Q8Gzpi2:Q8@(Q7,Q8)  
[Gzpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7[Gxpi2:Q7Gzpi2:Q8][Gzpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gxpi2:Q7Gxpi2:Q7Gxpi2:Q7[Gxpi2:Q7Gzpi2:Q8][Gzpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gzpi2:Q7Gzpi2:Q7[Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gzpi2:Q7Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q8Gzpi2:Q7]Gxpi2:Q8Gzpi2:Q8Gzpi2:Q8@(Q7,Q8)  
[Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8][Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gxpi2:Q7]Gzpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gzpi2:Q8][Gzpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8]@(Q7,Q8)  
[Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gxpi2:Q8[Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gzpi2:Q7Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gzpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gzpi2:Q7Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q7Gzpi2:Q8][Gzpi2:Q7Gzpi2:Q8]@(Q7,Q8)  
[Gzpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gzpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q8Gxpi2:Q8[Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gzpi2:Q8Gzpi2:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gzpi2:Q7Gzpi2:Q7@(Q7,Q8)  
[Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q8Gxpi2:Q8[Gxpi2:Q7Gzpi2:Q8][Gzpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8][Gzpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gxpi2:Q8[Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gxpi2:Q7]Gzpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8]@(Q7,Q8)  
[Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gxpi2:Q7Gxpi2:Q7Gxpi2:Q7Gxpi2:Q7[Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gzpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q8Gzpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gxpi2:Q8@(Q7,Q8)  
[Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gzpi2:Q7Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gzpi2:Q8]Gxpi2:Q7Gxpi2:Q7Gxpi2:Q7[Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gxpi2:Q8[Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gzpi2:Q7Gzpi2:Q7[Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]@(Q7,Q8)  
[Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gzpi2:Q7Gzpi2:Q8]Gxpi2:Q7Gzpi2:Q7Gzpi2:Q7[Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gzpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gxpi2:Q7Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q8Gxpi2:Q8[Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gxpi2:Q8Gxpi2:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gxpi2:Q8@(Q7,Q8)  
[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8]Gzpi2:Q8Gzpi2:Q8[Gxpi2:Q7Gzpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gxpi2:Q7Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q7Gzpi2:Q7Gxpi2:Q7Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gzpi2:Q8][Gxpi2:Q7Gzpi2:Q8]Gxpi2:Q7Gxpi2:Q7Gxpi2:Q7[Gzpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8][Gzpi2:Q7Gxpi2:Q8]Gxpi2:Q8[Gxpi2:Q8Gxpi2:Q7][Gzpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gzpi2:Q8Gxpi2:Q7]Gxpi2:Q8Gxpi2:Q8Gxpi2:Q8Gcphase:Q7:Q8[Gxpi2:Q8Gxpi2:Q7][Gxpi2:Q8Gzpi2:Q7][Gxpi2:Q7Gxpi2:Q8][Gxpi2:Q7Gxpi2:Q8]@(Q7,Q8)  
