# Note: on each line, put comma-separated <outcome:count> items, i.e. 00110:23
[Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gxpi2:Q72][Gzpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gzpi2:Q72]Gxpi2:Q81[Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q81Gxpi2:Q81[Gzpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72[Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q81Gzpi2:Q72][Gzpi2:Q81Gzpi2:Q72]Gzpi2:Q81@(Q72,Q81)  
[Gzpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gzpi2:Q72[Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gzpi2:Q72Gzpi2:Q72[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gzpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q81Gxpi2:Q81[Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gzpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72@(Q72,Q81)  
[Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gzpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81]Gzpi2:Q72Gzpi2:Q72[Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gzpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gzpi2:Q72Gzpi2:Q72[Gxpi2:Q81Gxpi2:Q72][Gzpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72][Gzpi2:Q81Gxpi2:Q72]Gzpi2:Q81[Gzpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72@(Q72,Q81)  
[Gzpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gzpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gzpi2:Q72Gzpi2:Q72[Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gzpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81]Gzpi2:Q72Gzpi2:Q72[Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gzpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gzpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72[Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gzpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]@(Q72,Q81)  
[Gxpi2:Q81Gxpi2:Q72][Gzpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gzpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gzpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gzpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gzpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gzpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72[Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gzpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q81Gxpi2:Q81@(Q72,Q81)  
[Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gzpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72[Gxpi2:Q81Gxpi2:Q72][Gzpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gzpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72][Gzpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gzpi2:Q81Gzpi2:Q72]Gzpi2:Q81[Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81]@(Q72,Q81)  
[Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gzpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gzpi2:Q81Gzpi2:Q81[Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gzpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q81Gxpi2:Q81@(Q72,Q81)  
[Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gzpi2:Q72[Gxpi2:Q81Gzpi2:Q72][Gzpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gxpi2:Q72][Gzpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gzpi2:Q81Gzpi2:Q81[Gzpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81]Gxpi2:Q72Gxpi2:Q72[Gxpi2:Q81Gzpi2:Q72][Gzpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gzpi2:Q72Gzpi2:Q72@(Q72,Q81)  
[Gxpi2:Q81Gzpi2:Q72][Gzpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q81Gxpi2:Q81[Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gzpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gzpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gzpi2:Q72Gzpi2:Q72[Gxpi2:Q81Gxpi2:Q72][Gzpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gxpi2:Q72][Gzpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gzpi2:Q81Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gxpi2:Q72][Gzpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gzpi2:Q81][Gzpi2:Q72Gzpi2:Q81]@(Q72,Q81)  
[Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gzpi2:Q72Gzpi2:Q72[Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gzpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81]Gxpi2:Q72Gxpi2:Q72[Gzpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gzpi2:Q72Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gzpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81]Gzpi2:Q72Gzpi2:Q72[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gzpi2:Q72Gzpi2:Q72@(Q72,Q81)  
[Gzpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gzpi2:Q81Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gxpi2:Q72][Gzpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gzpi2:Q81Gzpi2:Q81[Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gxpi2:Q72][Gzpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gzpi2:Q81Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gzpi2:Q81]Gxpi2:Q72Gxpi2:Q72[Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]Gxpi2:Q72Gxpi2:Q72Gxpi2:Q72[Gzpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gxpi2:Q72]Gzpi2:Q81Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gzpi2:Q81][Gxpi2:Q81Gzpi2:Q72][Gzpi2:Q81Gxpi2:Q72]Gxpi2:Q81Gxpi2:Q81Gxpi2:Q81Gcphase:Q72:Q81[Gxpi2:Q81Gxpi2:Q72][Gxpi2:Q81Gzpi2:Q72][Gxpi2:Q72Gxpi2:Q81][Gxpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81][Gzpi2:Q72Gxpi2:Q81]@(Q72,Q81)  
